iteracion,recompensa,longitud,contribucion_recompensa_vx,contribucion_recompensa_progreso,contribucion_recompensa_vy,contribucion_recompensa_yaw,contribucion_recompensa_vertical,contribucion_recompensa_supervivencia,contribucion_penalizacion_y,contribucion_penalizacion_suavidad,contribucion_penalizacion_torque,contribucion_penalizacion_pose,recompensa_vx,recompensa_progreso,recompensa_vy,recompensa_yaw,recompensa_vertical,recompensa_supervivencia,activacion_marcha,penalizacion_y,penalizacion_error_vx,penalizacion_suavidad,penalizacion_torque,penalizacion_pose,recompensa_fin_supervivencia,recompensa_fin_distancia_objetivo,penalizacion_fin_error_vx,penalizacion_fin_caida
44,755.161376953125,256.34625244140625,0.30369701981544495,0.08311088383197784,1.761343240737915,0.6382036209106445,0.23751665651798248,0.11921361088752747,1.2713038813672028e-05,0.005559811368584633,0.016332043334841728,0.0,0.15184850990772247,0.1662217676639557,0.7298756241798401,0.27153533697128296,0.9844863414764404,1.0,0.23842722177505493,0.00025426081265322864,0.1642483025789261,0.5559811592102051,3266.40869140625,0.00928799994289875,0.02016952633857727,8.515186345903203e-05,0.0003921700408682227,24.97983169555664
45,774.812255859375,246.3370361328125,0.32244324684143066,0.09120036661624908,1.841759443283081,0.6661252379417419,0.2474643886089325,0.12425602227449417,1.286955284740543e-05,0.005631341598927975,0.016781650483608246,0.0,0.16122162342071533,0.18240073323249817,0.7280799150466919,0.2711584270000458,0.9837632179260254,1.0,0.24851204454898834,0.00025739107513800263,0.16916581988334656,0.5631341338157654,3356.330078125,0.00981048308312893,0.028537077829241753,0.0002892558404710144,0.0005773539887741208,24.97146224975586
46,769.680908203125,236.497314453125,0.3328556418418884,0.09717060625553131,1.8827245235443115,0.6770360469818115,0.25270700454711914,0.12692667543888092,1.2742467333737295e-05,0.005715160630643368,0.017071101814508438,0.0,0.1664278209209442,0.19434121251106262,0.7279354929924011,0.26981768012046814,0.9833263158798218,1.0,0.25385335087776184,0.00025484937941655517,0.17074090242385864,0.5715160369873047,3414.22021484375,0.010208038613200188,0.01116071455180645,0.00042467244202271104,0.0002424111298751086,24.98883819580078
47,756.620361328125,224.9236297607422,0.3495134711265564,0.1050095483660698,1.927058219909668,0.6926542520523071,0.2585565447807312,0.129911869764328,1.2994553799217101e-05,0.005821740720421076,0.01742374897003174,0.0,0.1747567355632782,0.2100190967321396,0.726097583770752,0.2680259644985199,0.9826865792274475,1.0,0.259823739528656,0.00025989109417423606,0.1743660718202591,0.5821740627288818,3484.749755859375,0.010684482753276825,0.0,0.0,0.0,25.0
48,822.1074829101562,234.35702514648438,0.3661680221557617,0.10589474439620972,1.9985864162445068,0.7140840291976929,0.26731210947036743,0.13434717059135437,1.3693192158825696e-05,0.005897560156881809,0.017633672803640366,0.0,0.18308401107788086,0.21178948879241943,0.7245786190032959,0.2675500810146332,0.9830475449562073,1.0,0.26869434118270874,0.0002738638431765139,0.16922372579574585,0.5897560119628906,3526.734375,0.011018994264304638,0.0,0.0,0.0,25.0
49,921.4652099609375,255.18673706054688,0.3777829706668854,0.10444123297929764,2.0470328330993652,0.7362455129623413,0.27571406960487366,0.13861088454723358,1.4951096090953797e-05,0.005968003533780575,0.017918258905410767,0.0,0.1888914853334427,0.20888246595859528,0.720885157585144,0.26752138137817383,0.98377525806427,1.0,0.27722176909446716,0.0002990219509229064,0.1601463109254837,0.5968003273010254,3583.65185546875,0.01127223577350378,0.0,0.0,0.0,25.0
50,1041.5516357421875,277.5046081542969,0.39175793528556824,0.10252387076616287,2.130824565887451,0.7573533058166504,0.2855035960674286,0.14358004927635193,1.600756513653323e-05,0.006040681153535843,0.018109621480107307,0.0,0.19587896764278412,0.20504774153232574,0.7190759181976318,0.26590555906295776,0.9844135046005249,1.0,0.28716009855270386,0.00032015133183449507,0.15286818146705627,0.6040681004524231,3621.9248046875,0.011552451178431511,0.035584885627031326,0.0008250276441685855,0.000714999798219651,24.958507537841797
51,1153.147216796875,299.6264953613281,0.40174031257629395,0.10125447064638138,2.1852798461914062,0.7816384434700012,0.2922878861427307,0.14705686271190643,1.7276695871260017e-05,0.006095211487263441,0.018327895551919937,0.0,0.20087015628814697,0.20250894129276276,0.7201448678970337,0.265353798866272,0.9848517775535583,1.0,0.29411372542381287,0.0003455339465290308,0.14644640684127808,0.6095211505889893,3665.57861328125,0.01185237243771553,0.02055921033024788,0.0,0.00036515650572255254,24.957794189453125
52,1260.183349609375,320.2467041015625,0.4090360701084137,0.10158651322126389,2.2208430767059326,0.7881462574005127,0.29811999201774597,0.15004661679267883,1.968744800251443e-05,0.006161724217236042,0.0186319500207901,0.0,0.20451803505420685,0.20317302644252777,0.7164303660392761,0.2646465599536896,0.9850120544433594,1.0,0.30009323358535767,0.0003937490109819919,0.14290502667427063,0.6161724328994751,3726.39013671875,0.012212937697768211,0.04250919073820114,0.0008887173025868833,0.0009443676099181175,24.923362731933594
53,1400.3916015625,347.1359558105469,0.4184623062610626,0.10036006569862366,2.284274101257324,0.8119211196899414,0.306274950504303,0.15428605675697327,2.279184445797e-05,0.006230008322745562,0.01886846497654915,0.0,0.2092311531305313,0.20072013139724731,0.7138423919677734,0.26452770829200745,0.9852927923202515,1.0,0.30857211351394653,0.0004558369400911033,0.13668625056743622,0.6230008602142334,3773.69287109375,0.012696833349764347,0.1236979216337204,0.004450501874089241,0.0025596802588552237,24.735342025756836
