label,timestamp,lineage,run_dir,reward_weight_count
R57,2026-06-06 01:35:47,v3,logs/rsl_rl/kbot_forward_flat/2026-06-06_01-35-47_v3_gaitcycle_phaseobs_4096envs_from_20260531_211435_m300_to_800_save25_20260606,63
R58,2026-06-04 22:25:24,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_22-25-24_v3_vclip15_swing40_target100_term3000_4096envs_from_20260604_220400_m800_to_2000_save25_20260605,61
R59,2026-06-04 22:04:00,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_22-04-00_v3_vclip15_swing40_target100_term3000_4096envs_from_20260531_211435_m300_to_800_save25_20260605,61
R60,2026-06-04 21:37:40,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_21-37-40_v3_vclip30_swing40_target100_term3000_4096envs_from_20260531_211435_m300_to_800_save25_20260604,61
R61,2026-06-04 09:18:59,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_09-18-59_v3_weights_vclip15_swing40_target500_4096envs_from_20260604_090558_m799_to_800_materialize,61
R62,2026-06-04 09:05:58,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_09-05-58_v3_weights_vclip15_swing40_target500_4096envs_from_20260531_211435_m300_to_800_save25_20260604,61
R63,2026-06-04 08:54:09,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_08-54-09_v3_swing_speed_track_w8_4096envs_from_20260604_084028_m799_to_800_materialize,61
R64,2026-06-04 08:40:28,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_08-40-28_v3_swing_speed_track_w8_4096envs_from_20260531_211435_m300_to_800_save25_20260604,61
R65,2026-06-04 08:26:50,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_08-26-50_v3_swingsoletrack_w8_4096envs_from_20260531_211435_m300_to_800_save25_20260604,62
R66,2026-06-04 08:23:07,,logs/rsl_rl/kbot_forward_flat/2026-06-04_08-23-07_reward_runtime_check_swing_sole_track_20260604,62
R67,2026-06-04 08:07:30,,logs/rsl_rl/kbot_forward_flat/2026-06-04_08-07-30_reward_signature_check_dense_swing_speed_20260604,61
R68,2026-06-04 06:08:03,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_06-08-03_v3_speed0_sagfirsthalf_4096envs_m799_to_800_materialize_20260604,61
R69,2026-06-04 05:54:10,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_05-54-10_v3_speed0_sagfirsthalf_4096envs_from_20260531_211435_m300_to_800_save25_corrected_20260604,61
R70,2026-06-04 05:52:25,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_05-52-25_v3_speed0_sagfirsthalf_4096envs_from_20260531_211435_m300_to_800_save25_20260604,61
R71,2026-06-04 05:07:35,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_05-07-35_v3_foot_retreat_fixed_w300_linear1_4096envs_from_20260531_211435_m300_to_800_save25_20260604,61
R72,2026-06-04 04:29:03,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_04-29-03_v3_dense_target_linear1_w300_4096envs_from_20260531_211435_m300_to_800_save25_20260604,61
R73,2026-06-04 03:28:44,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_03-28-44_v3_dense_target_linear_4096envs_from_20260531_211435_m300_to_800_save25_20260604,61
R74,2026-06-04 03:26:39,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_03-26-39_v3_dense_target_linear_4096envs_from_m575_to_800_save25_20260604,61
